REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
F-HTYI,Airbus A350-941,C34W24Y266,28 Apr 2021,lsd,Saint-Malo W,5 Years
F-HTYJ,Airbus A350-941,C34W24Y266,6 Jul 2021,lsd,Cannes W,4.8 Years
F-HTYK,Airbus A350-941,C34W24Y266,14 Jun 2021,,Aubusson W,4.8 Years
F-HTYL,Airbus A350-941,C34W24Y266,3 Dec 2021,,Pointe-à-Pitre W,4.6 Years
F-HTYM,Airbus A350-941,C34W24Y266,5 Jan 2022,lsd,Fort-de-France W,4.5 Years
F-HTYN,Airbus A350-941,C34W24Y266,31 Jan 2022,lsd,Chambord W,4.2 Years
F-HTYO,Airbus A350-941,C34W24Y266,16 Mar 2022,lsd,Cayenne W,4.1 Years
F-HTYP,Airbus A350-941,C34W24Y266,8 Apr 2022,lsd,Lille W,4 Years
F-HTYQ,Airbus A350-941,C34W24Y266,4 May 2022,Parked / Maintenance,Menton W,3.9 Years
F-HTYR,Airbus A350-941,C34W24Y266,28 Jun 2022,lsd,Deauville W,3.8 Years
F-HTYS,Airbus A350-941,C34W24Y266,28 Sep 2022,lsd,Biscarrosse W,3.6 Years
F-HTYT,Airbus A350-941,C34W24Y266,23 Nov 2022,lsd,Angers W,3.4 Years
F-HUVA,Airbus A350-941,C48W32Y212,17 Jul 2023,lsd,Aix-en-Provence W,2.7 Years
F-HUVB,Airbus A350-941,C48W32Y212,21 Sep 2023,,Les Sables d'Olonne W,2.5 Years
F-HUVC,Airbus A350-941,C48W32Y212,23 Oct 2023,lsd,Le Havre W,2.4 Years
F-HUVD,Airbus A350-941,C48W32Y212,7 Nov 2023,lsd,Nantes W,2.4 Years
F-HUVE,Airbus A350-941,C48W32Y212,5 Dec 2023,,Orléans W,2.4 Years
F-HUVF,Airbus A350-941,C48W32Y212,27 Dec 2023,lsd,Chartres W,2.3 Years
F-HUVG,Airbus A350-941,C48W32Y212,4 Jan 2024,lsd,Carcassonne W,2.2 Years
F-HUVH,Airbus A350-941,C48W32Y212,2 Apr 2024,,Vichy W,2.1 Years
F-HUVI,Airbus A350-941,C48W32Y212,29 Apr 2024,,Albi W,1.9 Years
F-HUVJ,Airbus A350-941,C48W32Y212,16 Jul 2024,lsd,Paris W,1.7 Years
F-HUVK,Airbus A350-941,C48W32Y212,31 May 2024,lsd,Rennes W,1.8 Years
F-HUVL,Airbus A350-941,C48W32Y212,28 Jun 2024,lsd,Bourges W,1.8 Years
F-HUVM,Airbus A350-941,C48W32Y212,18 Jun 2024,lsd,Rochefort W,1.8 Years
F-HUVN,Airbus A350-941,C48W32Y212,23 Jul 2024,lsd,Narbonne W,1.7 Years
F-HUVO,Airbus A350-941,C48W32Y212,6 Aug 2024,lsd,Cherbourg-en-Cotentin W,1.7 Years
F-HUVP,Airbus A350-941,C48W32Y212,4 Mar 2025,lsd,Quimper W,1.1 Years
F-HUVQ,Airbus A350-941,C48W32Y212,20 Mar 2025,lsd,Nîmes W,1.1 Years
F-HUVR,Airbus A350-941,C48W32Y212,18 Jun 2025,,Arras W,0.8 Years
F-HUVS,Airbus A350-941,C48W32Y212,11 Jul 2025,,Colmar W,0.7 Years
F-HUVT,Airbus A350-941,C48W32Y212,27 Nov 2025,lsd,Noirmoutier-en-l'Île W,0.5 Years
F-HUVU,Airbus A350-941,,30 Dec 2025,,Anne-Marie Couderc W,0.3 Years
B-,Airbus A350-941,C48W32Y212,On Order,,,
B-,Airbus A350-941,C48W32Y212,On Order,,,
F-GSPA,Boeing 777-228ER,C28W32Y268,27 Mar 1998,,,28 Years
F-GSPD,Boeing 777-228ER,C28W32Y268,12 Jan 1999,,,27.2 Years
F-GSPE,Boeing 777-228ER,C28W32Y268,19 Jan 1999,,Chaumont-sur-Loire W,27.1 Years
F-GSPF,Boeing 777-228ER,C28W32Y268,11 Mar 1999,,Compiègne W,27 Years
F-GSPG,Boeing 777-228ER,C28W32Y268,19 Feb 1999,,,27.1 Years
F-GSPI,Boeing 777-228ER,C28W32Y268,6 Dec 1999,,,26.3 Years
F-GSPJ,Boeing 777-228ER,C28W32Y268,22 Dec 1999,,,26.2 Years
F-GSPK,Boeing 777-228ER,C28W32Y268,27 Jan 2000,,Pau W,26.1 Years
F-GSPL,Boeing 777-228ER,C28W32Y268,9 Dec 2000,lsd,Biarritz W,25.7 Years
F-GSPM,Boeing 777-228ER,C28W32Y268,14 Nov 2000,,,25.3 Years
F-GSPN,Boeing 777-228ER,C28W32Y268,15 Dec 2000,,,25.2 Years
F-GSPO,Boeing 777-228ER,C28W32Y268,3 Feb 2001,,Saint-Germain-en-Laye W,25.1 Years
F-GSPP,Boeing 777-228ER,C28W32Y268,28 Feb 2001,,Montpellier W,25 Years
F-GSPQ,Boeing 777-228ER,C28W32Y268,21 Mar 2001,,,25 Years
F-GSPU,Boeing 777-228ER,C28W32Y268,1 Feb 2002,,Saint-Étienne W,24.1 Years
F-GSPX,Boeing 777-228ER,C28W32Y268,13 Mar 2002,,Étretat W,24 Years
F-GSPY,Boeing 777-228ER,C28W32Y268,2 Apr 2002,,Vincennes W,23.9 Years
F-GSPZ,Boeing 777-228ER,C28W32Y268,21 May 2002,,Villandry W,23.9 Years
F-GSQA,Boeing 777-328ER,F4C58W28Y206,29 Apr 2004,lsd,Lunéville W,22.1 Years
F-GSQB,Boeing 777-328ER,F4C58W28Y206,14 May 2004,lsd,Cheverny W,21.8 Years
F-GSQC,Boeing 777-328ER,F4C60W44Y204,1 Jun 2004,,Amboise W,21.8 Years
F-GSQD,Boeing 777-328ER,C48W48Y273,20 Sep 2004,,Écouen W,21.5 Years
F-GSQE,Boeing 777-328ER,F4C60W44Y204,8 Oct 2004,,Angoulême W,21.4 Years
F-GSQF,Boeing 777-328ER,F4C60W44Y204,12 Nov 2004,,Papeete W,21.4 Years
F-GSQG,Boeing 777-328ER,F4C58W28Y206,23 Dec 2004,lsd,Chenonceaux W,21.2 Years
F-GSQH,Boeing 777-328ER,F4C58W28Y206,18 Feb 2005,lsd,,21.1 Years
F-GSQI,Boeing 777-328ER,F4C58W28Y206,18 Mar 2005,lsd,Rambouillet W,21.1 Years
F-GSQJ,Boeing 777-328ER,F4C58W28Y206,29 Apr 2005,lsd,Strasbourg W,20.9 Years
F-GSQK,Boeing 777-328ER,F4C60W44Y204,17 Nov 2005,,Amiens W,20.6 Years
F-GSQL,Boeing 777-328ER,,13 Jan 2006,Seating reconfiguration at ORY,Azay-le-Rideau W,20.1 Years
F-GSQM,Boeing 777-328ER,F4C58W28Y206,31 Mar 2006,,Troyes W,19.9 Years
F-GSQN,Boeing 777-328ER,C14W28Y430,26 May 2006,,Limoges W,19.8 Years
F-GSQO,Boeing 777-328ER,C14W28Y430,14 Jun 2006,Stored at FDF after incident,Vézelay W,19.7 Years
F-GSQP,Boeing 777-328ER,C14W28Y430,30 Jun 2006,lsd,Pomerol W,19.7 Years
F-GSQR,Boeing 777-328ER,C14W28Y430,3 Aug 2006,lsd,Châteauroux W,19.6 Years
F-GSQS,Boeing 777-328ER,C14W28Y430,22 Jan 2007,,Annonay W,19.1 Years
F-GSQT,Boeing 777-328ER,C14W28Y430,27 Feb 2007,,,19 Years
F-GSQU,Boeing 777-328ER,F4C58W28Y206,19 Apr 2007,,Montélimar W,18.9 Years
F-GSQV,Boeing 777-328ER,F4C58W28Y206,25 May 2007,,Millau W,18.8 Years
F-GSQX,Boeing 777-328ER,C14W28Y430,29 Jun 2007,lsd,,18.7 Years
F-GSQY,Boeing 777-328ER,,10 Jul 2007,Seating reconfiguration at BOD,,18.7 Years
F-GZNA,Boeing 777-328ER,F4C58W28Y206,24 Oct 2007,lsd,Royan W,18.4 Years
F-GZNB,Boeing 777-328ER,F4C58W28Y206,29 Apr 2008,lsd,,17.9 Years
F-GZNC,Boeing 777-328ER,F4C58W28Y206,30 May 2008,lsd,,17.8 Years
