REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK,AIRCRAFT NAME
VT-EVY,Airbus A310-324,,26 Nov 2002,5 Dec 2005,N28SBA Boeing Aircraft Holding Company,lsf Singapore Airlines,Ganga
VT-SCA,Airbus A319-112,Y144,24 Aug 2007,6 Jul 2020,LY-BHE Carlyle Aviation Partners,lsd,
VT-SCB,Airbus A319-112,Y144,24 Aug 2007,19 Jan 2024,VP-CDF Avolon,lsd,
VT-SCC,Airbus A319-112,Y144,24 Aug 2007,16 Dec 2023,VP-CDH Avolon,lsd,
VT-SCD,Airbus A319-112,Y144,24 Aug 2007,20 May 2014,CS-TTU TAP Air Portugal,lsd,
VT-SCE,Airbus A319-112,Y144,24 Aug 2007,20 May 2014,CS-TTV TAP Air Portugal,lsd,
VT-SCG,Airbus A319-112,C8Y114,18 Oct 2007,23 Sep 2023,Stored,,
VT-SCI,Airbus A319-112,C8Y114,30 Nov 2007,22 Nov 2019,Scrapped,,
VT-SCJ,Airbus A319-112,C8Y114,15 Nov 2007,19 Apr 2024,Stored,,
VT-SCK,Airbus A319-112,C8Y114,19 Dec 2007,15 Dec 2019,Scrapped,,
VT-SCL,Airbus A319-112,C8Y114,14 Oct 2008,23 Aug 2020,Partially Preserved,,
VT-SCN,Airbus A319-112,C8Y114,7 Nov 2008,5 Nov 2020,Stored,,
VT-SCO,Airbus A319-112,C8Y114,4 Mar 2009,27 Mar 2021,VT-SCO Defence Research and Development Organisation (DRDO),,
VT-SCP,Airbus A319-112,C8Y114,29 Apr 2009,4 Apr 2024,Stored,,
VT-SCS,Airbus A319-112,C8Y114,31 Aug 2009,6 Nov 2023,Stored,Mahatma Gandhi W tail,
VT-SCT,Airbus A319-112,C8Y114,29 Sep 2009,12 Nov 2018,Preserved,,
VT-SCU,Airbus A319-112,C8Y114,27 Oct 2009,8 Apr 2023,Preserved,,
VT-SCW,Airbus A319-112,C8Y114,21 Dec 2009,17 May 2019,Preserved,,
VT-SCX,Airbus A319-112,C8Y114,27 Jan 2010,12 Nov 2018,Scrapped,,
VT-EPB,Airbus A320-231,CY168,24 Aug 2007,25 Jan 2016,Partially Scrapped,,
VT-EPC,Airbus A320-231,CY168,24 Aug 2007,Sep 2016,Preserved,,
VT-EPD,Airbus A320-231,C20Y126,24 Aug 2007,2011,Scrapped,,
VT-EPE,Airbus A320-231,C20Y126,24 Aug 2007,2009,Scrapped,,
VT-EPF,Airbus A320-231,CY168,24 Aug 2007,23 Aug 2017,Preserved,,
VT-EPG,Airbus A320-231,CY168,24 Aug 2007,2 May 2016,Stored,,
VT-EPH,Airbus A320-231,CY168,24 Aug 2007,2015,Preserved,,
